Serial No,App Name,Review Comments
,,Very Helpful Apps
,,Wonderful information
,ESC Pocket Guidelines,
,,"Would have given it full marks except the app is buggy. The window that makes you select your role and speciality doesn't let you move from there. Occasionally it will allow you to move forward and actually look at the algorithms. The apple version of the app works fine on my iPad, so its disappointing that the playstore version doesn't work. Very disappointing."
,,when I open app it always ask about classification and speciality. then app stuks at this point. The app is also heavy on phone memory. otherwise I would have loved it .
,,this app seemed like it could have been useful but I was never able to get passed entering my occupation or running updates. literally never saw a guideline.
,,"Sloppy! Buttons don't work, can't even get past initial dialog box, lol"
,,"App wont load, it either immediately closes itself or just gives me a permanent white screen."
,,please check your app... cant get pass from the startup dialog box where you need to indicate your profession and specialty. how come?
,,unable to open the app app doesnt allow to pass beyond starting dialogue box.. uninstalling it...
,,same as everyone else. can't progress past the role selection pop up
,,It doesn't work... not even the registration button
,,Developer unwittingly prevents us from keeping ap INSTALLED on device for FUTURE iNSTANT use but moved to ample sd card .SO UNINSTALLING ACCORDINGLY till option is enabled
,,It's a nice app but freezes a lot . Please fix.
,,can't get past the first screen asking for your profession. i plug it in and it wont submit. don't even get to look at the guidelines. would be a great resource if it wasn't for that.
,,Cannot submit the Classification & Speciality choices to proceed further in Android version
,,Can't open the app without giving app access to photos..
,,Too large to keep as your preventing it from residing on sd card!!!
,,can't get past the job role screen. makes the app 100% useless.
,,doesnt move ahead of dialogue box gave a look
,,I LOVE THIS APP its so frikin cool who thinks that because its just cool for m AND i think im in LOVE i love sunny yeah keep on movin girl and wen i saw a girl with NO heart i helped her in THIS APP its cool right so and hi whittier its me SAMY
,,AHA is so amazingly awesome and I am proud that I will help kids
,,its so good but if you are a kid you need you mom or dad becus its online
,,We actually want the challenge it just gives us this and no it's no
,,I love this so much
,,I love you
,,keeps crushing all the time
,,some how large app data size
,,doesn't open
,,"Much better. Has all of the guidelines. I find it especially useful as I'm an instructor (BLS, ACLS, and PALS) and I can refer students to the information within"
,,Terrible.... !
,,excellent
,,"Great APP, does what it is designed to do. Designed for clinicians and not the general public. Easy access to AHA guidelines. People leaving 1 star reviews because lack of ALS/PLS/ATLS should re-assess what the purpose of the APP is. Those guidelines should not be included as they are not publis.."
,,Good enough for a free app. Was wondering if the STEMI management guidelines really arent included?
,,"Great app, very useful guideline summaries, nifty animated treatment algorithms, haven't experienced any of the problems seen in older versions. Thanks!"
,,Does not open just flashes and closes another stellar AHA failure
,,"Not a good app. There is no BLS, ACLS, CPR, Guidelines"
,,Amazing interface...an excellent example for other apps to copy for
,,bus there ha
,,Great piece of work
,,very usefull app tnx
,,Great app
,,Very useful apps
,,Excellent App
,,Great app
,,very helpfull
,,Accurate
,,Needs to be more concise. Search function poorly constructed. Format disorganized.
,,nice
,,"This is horrible. There is no structure, random content, no naming convention. Very poor. This couldn't have been tested, and based on the already 2.3 rating, I'm not an outliar."
,,good one
,,Its missing alot of info like Acls and APLS .ATLS so please fix to more stars or its not recommended to other fellows
,,Casserole of random nonsense. No ACLS guidelines? Very disappointing.
,,Poorly organized. Limited information. Weak
,,"Missing a lot of information ACLS, PALS, etc."
,,Falsely advertised. Incomplete.
,,"I am getting an ""HTTP 400 and request"" error. Please help."
,,HTTP 400 Bad Request :(
,,Broken
,,App will not open. Timed out then error message. You need to test application before releasing app. Really gives AHA a bad name when things do not work. Will try it again when I hear the bugs are gone and application works.
,,"The app does not work, reading other reviews it seems older versions do work however. Please switch back to the old version until the bugs are fixed, this seems like a very good idea and would be very useful."
,,HTTP 400 bad request That's the error massage I got after it failed to load. Uninstalling.
,,"Unlike others, this app worked for me. The interface is a bit clunky and some of the pages didn't seem to display all info but there are tons of scientific resources."
,,I expected a little more. This thing reads like 1970's stereo instructions.
,,Poor quality control. Installed but like most unable to open the app.
,,Similar to others: Http 400 bad request - uninstalling until more stable
,,Wouldn't Load I downloaded the app and couldn't get it to load.
,,Unable to open the app.
,,It won't open after download. Looks promising. Please fix!!!!
,,Application will not load.
,,Does not work
,,App won't load to phone.
,,Installed twice and would not open either time. Uninstaller for good.
,,It won't open
,,Installs but won't open. Don't waste your time.
,,"Wow. Was hoping for a well made, useful app. Was completely disappointed. What a waste."
,,not happening
,,Installed. Took forever to open and only one guideline available. Not very slick. Useless at this point. Uninstalled.
,,Saves lives
,,It is wonderful helps finds information
,,I love it so much
,,welldone
,,Amazing
,,nice job
,Diseases Treatments Dictionary,
,,"For all the good that it is in terms of convenience it feels extremely cluttered. For some reason it is also stuck (or not available, perhaps?) in landscape mode for tablets. AMAZING work with the app, and I am ever thankful for it, but if you could de-clutter the categories polish the user interface it would be even more amazing!"
,,The app started to crash and auto close itself after the login interface. And when I tried to open it again it gives me a white blank screen
,,"The App is not working at all after the last 2 updates. Whenever I open it, it immediately crashes and closes... Samsung Galaxt Note 8"
,,"If i can put 0 star, app won't download the guidelines. Keep on telling me to connect to data connection"
,,Very usufull but difficult to download updates
,,"It's heavy (400+Mb) and doesn't allows to be tranferred to an external sd-memory card. Also: An ""abreviations"" section would be very helpfull. Thnx."
,,It doesn't work at all after the update
,,Excellent app explain each and every topic in detail
,,"Great, involve most cardiac topics, summarized"
,,"Very poorly made, always asking for log in even after first log in"
,,The presentation is superb. Wish to get the quick review format.
,,Large files but all in one solution
,,"it keeps saying ""please make sure you're connected to the internet"" even though I am! I can't download any document so far! please fix this!"
,,every single time i install the app i never be able to log in! everytime i have to change my password and even when i change it i never be able to log in or download any guidelines... please fix that.. the app is useless like that !!
,,Amazing app for cardiologists
,,Can't log in or download anything. Very sad. Using Galaxy S8.
,,Excellent... But need to be up to date. The latest guidelines are not added yet.
,,excellent. Healthcare professionals will benefit greatly particularly when starting a specialty in Stroke. i could not do without it now.
,,"informative, updated and comprehensive guidelines through very handy application"
,,"Does not run on Nokia 2.2, Android version 9 Pie. Very disappointed "
,,This is an Excellent app.
,,very bad presentation technical error of login occurs frequently
,,Cannot download guidelines
,,cannot download not even a single guideline
,,very good but app cant be opened. so sad
,,can't log in at all
,,best app ever in cardiology
,,Where is the new lipid guideline update??
,,The slowest server i have ever dealt with Very bad server
,,Hope no ads in the app
,,Much needed app
,,Please share the last 2018 guidelines in the app.
,,Where are the new guidelines?
,,Very important for cardiologists
,,waste of time
,,Update: this app is constantly asking for internet connection when opening the ALREADY DOWNLOADED guidelines. Super annoying. Make it completely usable when offline. The net sucks here in Indonesia. Downgrading for a moment from 4 to 3 stars.
,,No longer works after update to marshmallow...PLEASE FIX IT!!!
,,Why don't you fix this problem ? Many users can't download the guidelines anymore after the last update. Please fix this.
,Qardio Heart Health,
,,"Very informative, enjoyed reading about the conditions and the treatment. It is always good to know something about any ailment you are dealing with and there may be questions you will want to ask your Dr. about and at least you will have some understanding of what is going on in your body and the information you have gathered will be helpful. Thank you"
,,"I like it. It helps me a lot to know medical informations, I who really do not know about the different diseases, symptoms, etc. Thanks a lot for these application."
,,"I like this app.it tells me a lot of stuff,I need to no,except some of the words,,I can't pronounce,,but that's what medically is all about.thank you. Jo-Ann"
,,It is very useful to get a general awareness on diseases. Also it is informatic to take precausional measures for several ailments.Thanks a lot....!
,,"Very informative and easy to understand. Short,quick and simple explanation of different diseases."
,,Excellent app. Detailed information about diseases for easy understanding and also for a quick review of a condition.
,,"Has some great information, but is very limited in WHAT it has otherwise I would have given it a 5 stars."
,,Wonderful pictorial interface. I just downloaded and looked at it and it already appears cool and full of contents.
,,A very useful app..... for who don't want to go hospital s in the Short period of time... They will definitely get the prescription here....
,,"Love this app, very informative,I will recommend it to anyone who have any medical problem. Thank you."
,,"ADVERTISMENT FILLED CLICKBAIT... IF you want to go AD-FREE then it will do the job. The DEV responded nicely, so I gave them another star. TO MAKE IT 5* PLEASE, PLEASE MAKE IT BOTH FREE AND ADVERTISMENT FREE."
,,"This app is amazing! It provides enough knowledge about any disease. The thing which I like most about this app is that, it is having an offline feature like you are able to approach the relatable content without having an internet connection."
,,Many thanks for this Excellent App that will help to Know about the root cause of the Illness & be careful to avoid mistakes to spread the Diseases but to understand from This problem solving Dictionary to be safe with rightful treatment available today by this app.
,,This app impressed me a lot!! I really didn't think it would have so much details about everything. I have epilepsy and the stuff I have read there about it impressed me really much more then I thought 🤓 Thanks alot for all the help you have given us!!!
,,This is most useful app I've ever found thank you thank you thank you veryyy much im very very very thankful for this app ...its so easy yet covers all information and it makes any topic to understand easily for anyone .....im so so so grateful for this app thank you very much
,,"A very useful app everyone should have this. It helps u know many types of diseases. Symptoms, thank"
,,"Very good app, you can still access info without data"
,,This app impressed me a lot!! I really didn't think it would have so much details about everything. I have epilepsy and the stuff I have read there about it impressed me really much more then I thought 🤓 Thanks alot for all the help you have given us!!!
,,This is most useful app I've ever found thank you thank you thank you veryyy much im very very very thankful for this app ...its so easy yet covers all information and it makes any topic to understand easily for anyone .....im so so so grateful for this app thank you very much
,,"A very useful app everyone should have this. It helps u know many types of diseases. Symptoms, thank"
,,"Very good app, you can still access info without data"
,,"Its so nice adding medical knowledge with this tool,as it broadens n gives detailed mgt of specific medical conditions,am impressed!"
,,Its a very useful app to stay healthy. It comes with all the required infomation need on any kind of ailment. Kudos to you guys
,,I really luv this app. It has a well explained details.
,,This app is very very useful. Simple English and understandable
,,This is great and it is very useful. I fully recommend it for use by everybody. Great work.
,,"Very good and updated, from this app I made to understand that coronavirus is not new it has happened in this thesame China and spread to world in 2002-2003 named SARS then. Thank you very much for developing this app"
,,This is awesome very simple and easy to understand i love this app
,,It gives some insights if not the medical terminology to a layman. Also helps to overcome some doubts due to lack of knowledge in this region. Thanks & pse keep guiding through your educative applications.
,,"I've been suffering from skin problems now again nd I was not sure axctly wat my problem was,but after I've came across this app I've checked different skin deaseas nd the causes of them nd the treatment.its very helpfully nd convenient as its focusing in lot of diseases tht are common."
,,Please update valvular heart disease and add syncope guidlines.Excellent work by ACC.
,,Current guidelines and risk calculators.
,,plz add exit option for application..otherwise excellent app
,,I am a practicing Pa for 18+ yrs & a PA professor and I highly recommend this app to all my students!
,,Thank you for such a wonderful app . All the most impoRtant guidelines at fingertips
,,"Great app, please update and add congenital guidelines"
,,Excellent app. I like it. Very easy to work with it. Thank you so much.
,,Wow
,,I am a Cath lab RN and this is very helpful
,,Very easy to revise important points of guidelines
,,Excellent straightforward reference
,,Can make it completely offline
,,Very easy to use with informative precise layout
,,"Very helpful, with language you can understand."
,,Really a useful toolkit for life saving purpose. The immediate response
,,"It's more easily accessible and understandable, learn about causes ,treatment and side effects. I really love it,it's so helpful"
,,So far appears to be very good. It has been only 5 minutes that I have downloaded it and read about one disease. It was quite informative. Thats all I can say of app for now.
,,"Classic, explicit and helpful to the lay person...!!!"
,,Very informative. Love to read in order to become knowledgible.
,,Needs patch. Not able to calculate above age 59 despite saying you can calculate to 79.
,,good for use
,,"I used to love this app, but now it refuses to calculate risk in anyone over age 59. That needs to be fixed. Thanks"
,,No data for age above 59!! Fix it!
,,"SI unit change to mmol, but in my phone the pad does not have a "" . "" "" decimal"" point ??"
,,"Use almost daily in clinical practice as a PCP. The patient info entry seems a little cumbersome post update, not sure how to rectify that."
,,"Tells me that they need a high intensity statin, but doesn't tell me what dose is considered to be high intensity. Other apps are more helpful."
,,"needed to wipe the app & restart it. Now after that? Works perfectly. Thanks heart people! //Tried to get my assessment, but even after completing the first section, it still says ""all fields required"". But they're all filled in! Sigh."
,,"Please fix it!!! Halts and locks up when trying to move between tabs and pages... Don't understand why it should behave so erratically. User should be able to ""reset"" it to input different parameters easily... I often just restart it. Kludgy."
,,"Very good app Loved the app. I wish they could allow for both mg/dl and mmol/l, have to convert first its a bit tedious"
,,"Previous version worked perfectly and I used it every day in my office. This ""Plus"" one, to which I was updated without my consent, does not even allow data input with numerical keyboard. An excellent app ruined. Uninstalled."
,,Love it! I like that I can plug in my patient's numbers and show them their risk right in their lab review session.
,,"Please add SI units Good interface and accurate scientific content, but unusable outside the US without the option to input standard units (mmol/L) for cholesterol levels."
,,"Layout looks good Appears to be easy to use with great supplemental information on diet, exercise, monitoring, etc... Good addition to my practice."
,,What an app! Best app for cv risk calculator. No problem encountered. Summary recommendation is awesome. This sums up the 85 page pdf file from ACC/AHA.
,,"Works as Expected, but... I like all of the useful information that I received from this app. I gave it four stars b/c it would not accept my real total cholesterol value of 108. I had to input 130 instead to get a calculated result."
,,Extremely cumbersome to enter data and to convert units eg metric to non metric measurements and American to international units. The rotating wheel format is much more time consuming than direct numeric entry.
,,"Have to re load for new phone, won't carryover.Otherwise excellent"
,,"CVD Risk Calculator Awesome for health care providers, and good source of info for patients."
,,Stinks How can you make an app that tells me that I am in error when I enter my cholesterol levels? Do NOT download this app if you have FH; it wont help you at all.
,,Needs SI units please! Many countries look to these recommendations but their labs report in SI units. This would be a major improvement.
,,"Easy to use. Includes great information in addition to the risk rating, such as station intensity table."
,,"useful but... very useful but as most of the world uses si units for biochemistry, it would be most useful if these would be included."
,,Please include accept values in micromoles/L as well...
,,Great tool for med students Great for third and fourth year clerkships especially in primary care specialties.
,,Good job I have been impressed with the application it has made our life easier
,,Heart Risk Excellent app. Especially medical providers
,,Estimeter Prognosis delear.
,,Excellent It's very use full to drs and medical pg student's
,,Acceptable Needs much more flexibility for SI and conventional units.
,,Excelleny What a grt tool free of cast and easy to use
,,The most helpful of all offline med calculators
,,Must have for med student Quick and very useful
,,Mind blowing This app's hella amazing.
,,Good cvd indicator Includes genetics too
,,Great application..... Ideal summary of ACC/AHA guideline
,,100% Recomendable 100%
,,Does what I need it to do. Plain and simple.
,,Excellent app with accurate scientific content.
,,"Good job, but explanations is deeply scientific"
,,thanks
,,well done
,,"useful and helpful app very userfriendly app , one can even chek ur riskfactor for heart attack"
,,Great selfless job by Dr rajeev. Hope people use and share it to reduce the disease burden.
,,Wonderful app!! Easy to use and extremely helpful for the entire family. Highly recommended!
,,"Superb app. Really Speaking, i loved this app. This app is so simple & informative that anyone can
 operate this app. Thanks Dr. Rajeev for inventing such an App."
,,Very Useful App to know about heart attack symptoms. .
,,Great app sir . Excellent work and true information...nice Dr Rejeev sir ji
,,Excellent app for every person who cares about his health. Download it now
,,"Great app to get the heart basics down, also love the continual addition to the media gallery! Some
 considerations for the designer are to maybe keep the labels on screen as you rotate the 3d model 
because they diseappear, also have an option to keep the animated motion going as you rotate the 
heart as well because right it stops. Also maybe add an EKG tab. Thank you!"
,,It doesn't work. Always freezes and asks to close the app
,,too many crashes when selecting various options. Waste of time and space!
,,"APP will not run. Great Graphics but continually crashes after a second on Samsung Galaxy S6
 running Android 7.0"
,,Excellent visual compliment to help explain to patients their new diagnoses and plan of care.
,,Would be great if it did not keep on crashing.
,,"Keeps crashing when I press ""label"". please fix"
,,Why not introduce about EECP therapy and collateral developments. .
,,Absolutely fantastic animations!
,,Perfect app for self cardiological study
,,crashes like it is texting and driving
,,"wow iam impressed, alot to learn,"
,,"good knowledge. please how heart rate monitor . check please update function imporve. .
 diat plan please what is healthy heart problems eat.. more videos please update to request."
,,good app
,,Fantastic
,,amezing stuff
,,Good app
,,excellent
,,top
,,"This a solid app...! The animation is top notch especially including contextual disordered situations
 of the heart. The parallel EKG/ECG was a brilliant choice. Patients, Doctors, Students of Life, 
Health Nuts will enjoy it. Just exploring all aspects so this is all I got."
,,Congratulations. !!!. Works perfectly. Patients love it. Excellent Job. I love it.
,,This is the best app I come across so far and thank you very much
,,Excellent tool for clinicians and patients!
,,"So so so fantastic app for everyone who love heart and like to know about heart's function, lovely
 lovely app, billion likeeeeeeeeeeeee"
,,helped in understanding heart functions....... Awesome learning tool..
,,Great learning tool
,,Perfect for pt education on the floor. Can't wait to use it
,Diseases and Disorders; Nursing Therapeutic Manual,
,,"this app are really really good, very acurate, well description written, and its a big help to all medical courses, and it will help all people in this world to be knowledgeable enough to our health, this book are so amazing..."
,,Just viewing for the first time
,,Great app showed me what I need to know.
,,great job
,,"It's what I've been looking for; I have a couple of friends with blood problems, and this app will help 
me help them. Fantastic work."
,,This app will help me to increase my knowledge.
,,Please detail hindi ya Marathi language jo samaj sake
,,very well app for knowing about blood dieases
,,Might be a good thing to me.
,,Super its more useful
,,I think so much appreciated
,,I like this application. it is very useful for medical profession.
,,It's really interesting
,,This is what I want
,,Superb this is a good app
,,Very good app
,,include more article
,,Very nice app
,,Excellent app for every person who cares about his health. Download it now
,,Life saver!! Wonderful app. I hope people use it!
,,It's very useful and helpful for our health.
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,"Love it,easy to use."
,,Very good app
,,Very very useful
,,So Nice app...
,,Loved it!!
,,best good
,,good
,,"Fantastic initiative taken by Dr Rajeev rathi. It inform heart Patient about there disease also how to tackle
 if you are in trouble."
,,"As someone with a congenital heart defect making the age limit 40 makes it utterly useless for people 
who are in the 20s and would like a good baseline to go off of"
,,Saved me in my attack.
,,This is true. App
,,Awesome app Request all are download
,,Very Good App
,,Most useful for everyone
,,Love verma Great
,,Im also recommend it
,,bindassaijaz Good
,Heart Attack Risk Calculator - Clardia,
,,"Works well and is easy to use. In the early days I had a few problems with loss of connection to the Qardio cuff, but now it seems pretty reliable. As far as I can tell, the readings are a good match to those at the doctor's surgery and from a well-regarded Omron home monitor. The ability to take the average of multiple readings and log them to Apple's or Google's health apps is great."
,,"The blood pressure cuff only fits on my forearm, not the upper arm. Getting it to connect to the bluetooth of my phone takes some effort. I like the fact that the reading goes directly to my doctor."
,,"Needs rerolling instructions. I can't figure out how to roll it like it was when it arrived and since that is one of the main features, not to mention the only way to shut it off, it should have had directions for doing it correctly."
,,The app is good. Easy to use and graphing is well presented. Battery life of the qardio device could be greatly improved. Ability to email full results would also be handy.
,,This unit makes it extremely easy to track my readings and share them with my medical professionals. My primary nurse even commented that she loves the report that I send at regular intervals.
,,"Easy to use, fairly quick and accuracy corresponds very well to medically approved blood pressure devices. I love the history retention and ability to send to my primary care physician. Also to measure BP for others without disturbing my readings. Only reason I didn't give five stars is how quickly it goes thru batteries."
,,"Easy to use, convenient, keeps a record of your bp. Also it's being monitored"
,,"Having problems with app.takes measurements ok butthe problem is the history,all of sudden the historypast measurement are gone, i had measurement since the first of jan 2020,now they are all gone the only thing that show up is the dayily reading and tomarrow they will be gone.it shows the date and times and that all!!! I got a new phone samsungA20 and the app worked for about a week anow nothing, i have triedputting the new app & updated and still the same problem.i got this app andQardio arm"
,,Nice gadgets. Fairly accurate. Smart phone interface is pretty good. An useful product to have at home.
,,Great method to monitor blood pressure and especially easy to carry on trips. Recommend it greatly.
,,"This app, with the Bluetooth Blood pressure cuff, is very helpful. I take daily readings I provide to my doc. He uses the info to inform my treatment."
,,The app gives me the information to manage my heart and blood pressure to stay healthy. It also provides information regarding my A-Fib that helps me be aware of problems.
,,Works very well. I came over from one of the other Bluetooth cuffs and I like Quardio better. The historical views are better as is sharing with the doctors.
,,Just used it first time. Super easy to setup and seems accurate. My first impression is this is a top quality device.
,,Great device...but occasionally it doesn't want to turn on/connect.
,,Love it!!!! And keeping track is wonderful hit a button and all your history with date and time is right there
,,It responds most of time. It is great when my phone can connect to unit
,,Very easy to use. Keeps track easily and helps to show patterns
,,"Because my blood pressure fluxuates from too low to too high, Qardio Heart has been AWESOME with assisting me in determing how often and how much medication to take, or not take, daily."
,,"This serves as a good tracker, especially when you have a history of heart disease."
,,Crashes and won't work now after their last update. No way to undo their update.
,,Great product and easy to use. Very accurate so it gives you piece of mind.
,,Very easy to use and store information to display to doctor.
,,Very easy to use and compact.
,,After the last update is crashing and I can't use it anymore....
,,Compact monitor. Easy to use app.
,,Qardio app no longer syncing with Google fit after latest update.
,,It is friendly use App and would be great if it includes WIFI connectivity
,,"I like being able to look back at dates and times, to compare changes."
,,Very easy to use and convenient!
,,Good reliable blood pressure monitoring.
,,Very irregular results. Not very accurate
,,Quick and easy to use. Would like a quicker way to turn off. I take the top off each time. Good graphics. Is there a way to select just morning or evening results in the graphics?
,,Very accurate and easy to use.
,,"Pretty new but so far so good! It did take some work to pair the app with my cardio cuff. Once that was done it has been smooth. I like the ""3 reading and take the average"" option. I have white coat syndrome and this is helping. Also, my doctor will get a month of readings at my next visit. Thinking about the qardiobase 2..."
,,More than five stars
,,nice app
,,Excellent app
,,excellent
,,"This is useless. The older version was amazing. Journal scan, quick access to articles etc."
,,Amazing app ...waiting for more guidelines... It ends arguments really quick
,,Tanks But your app have not cpr guidline
,,Finally ! Waiting for the rest of the guidelines and more
,,No more guidelines..? Until full guidelines arrive
,,Lot to be improved Still lots of guideline to be added..still CAD topics not added
,,Nice summaries It is very precise and helps many clinicians
,,"Need more complete guidelines,overall it was good"
,,"I was looing for just a brilliant app like this and here i found this. Thnku All info at one place no need to 
search anythng in googles just one click and here it is. Thnku team."
,,One dayyy...I makee Fabulliouss
,,Wonderful app.. Loved it.. Very easy to understand and review..
,,Great Brilliant work keep in improving..
,,It is a very usefull app.
,,Love u I'm try it
,,Great app Easily use
,,its a good app
,,Its easy to use..
,,Awesome app...love it
,,Good app for Good doctors
,,"This is horrible. There is no structure, random content, no naming convention. Very poor. This couldn't have been tested, and based on the already 2.3 rating, I'm not an outliar."
,,good one
,,Its missing alot of info like Acls and APLS .ATLS so please fix to more stars or its not recommended to other fellows
,,Casserole of random nonsense. No ACLS guidelines? Very disappointing.
,,Poorly organized. Limited information. Weak
,,"Missing a lot of information ACLS, PALS, etc."
,,Falsely advertised. Incomplete.
,,"I am getting an ""HTTP 400 and request"" error. Please help."
,,HTTP 400 Bad Request :(
,,Broken
,,App will not open. Timed out then error message. You need to test application before releasing app. Really gives AHA a bad name when things do not work. Will try it again when I hear the bugs are gone and application works.
,,"The app does not work, reading other reviews it seems older versions do work however. Please switch back to the old version until the bugs are fixed, this seems like a very good idea and would be very useful."
,,HTTP 400 bad request That's the error massage I got after it failed to load. Uninstalling.
,,"Unlike others, this app worked for me. The interface is a bit clunky and some of the pages didn't seem to display all info but there are tons of scientific resources."
,,I expected a little more. This thing reads like 1970's stereo instructions.
,,Poor quality control. Installed but like most unable to open the app.
,,Similar to others: Http 400 bad request - uninstalling until more stable
,,Wouldn't Load I downloaded the app and couldn't get it to load.
,,Unable to open the app.
,,It won't open after download. Looks promising. Please fix!!!!
,,Application will not load.
,,Does not work
,,App won't load to phone.
,,Installed twice and would not open either time. Uninstaller for good.
,,It won't open
,,Installs but won't open. Don't waste your time.
,,"Wow. Was hoping for a well made, useful app. Was completely disappointed. What a waste."
,,not happening
,,Installed. Took forever to open and only one guideline available. Not very slick. Useless at this point. Uninstalled.
,,Saves lives
,,It is wonderful helps finds information
,,I love it so much
,,welldone
,,Takes awhile to set up but otherwise perfect.
,,"Quick and easy to use. Matches the BP at my providers office, too. 1/29/29 - This device is still working well. It us easy to pack when traveling."
,,"Qardio's privacy policy is concerning. They can keep your information for as long as they deem neccesary to ""conduct business"" even if you've deactivated your account. Also, the app kept telling me it needed location data to function....why? Location data isn't needed for Bluetooth to work. Finally, the blood pressure device I purchased didn't work but the app was just stuck on a walkthrough loop. Like at some point, maybe point me to some troubleshooting blurbs."
,,Easy to use. Much more convenient than my standard unit. So nice to print the history when I have a doctor visit.
,,Easy to use and very accurate
,,I am not sure I trust the accuracy of the BP cuff. I would say based on my experience it's accurate to ÷/- 15%. Other than that it gives you a pretty good idea what your BP and heart rate are.
,,"Repeated issues with connecting via Bluetooth, especially with certain phones. For a very expensive device the help is poor. This device should connect seamlessly to all phones and devices since it cannot be operated in a manual mode."
,,"It could be more clear how to complete the setup of pairing your device to your phone, but the ease with which you can take your measurements after everything is set up is superlative. I'm very happy with my qardio arm and qardiobase 2."
,,"Easy to use, and greatly appreciate the apps integration with electronic health records at my Dr.'s office."
,,"Just started using it. So far it is fine, but only after a couple of attempts. Hope it stabilizes for a one off measurement."
,,Works great with iPhone and Samsung. Easy to use. Very accurate reading.
,,I love the ease of use and convenience factor. No more bulky machines or guess work.
,,"This is an excellent unit to monitor your blood pressure. It is small and compact, making it practical to take with you when traveling. You can also send all the measures to your doctor as well. I have been using it for more than a year, and can only speak greatly of it."
,,Very good and accurate. Accuracy was confirmed by my doctor. Easy to use.
,,"Very convenient way to record regular measurements. Follow the directions carefully to pair the device, both the Qardio and device's - it took me a few tries the first time."
,,I love this. I am a truck driver and it fits great in my lunch bag.
,,Easy to use and accurate
,,"loved my Qardio BP monitor , and my doctor loved it also."
,,So convenient! I take 3 readings at a time automatically for a more accurate measure. My Dr. just looked at the monthly trends to review my history. Storing the data on my phone is the best!
,,Qardio app in conjunction with Qardioarm is a great way to easily track your blood pressure. It's so easy to use and provides great visual displays of your BP.
,,Weight measurements don't sync to s health. Last email from support indicated they were aware and would be fixed in future release. Then why state it works with s health when it doesn't
,,Love it but found out the cuff is to small and was not getting accurate results. Not sure if it can be used on the wrist and get accurate readings
,,"I need to measure my blood pressure for doctors. This enables them to make a decision based on my results. I take it to the gym just to watch. I had quadruple by-pass, it's a nice reassurance."
,,Just got it. It's easy enough to use. Read the directions. It doesn't work the way you think... my only complaint so far is how long it took to ship. I should have just bought it on Amazon. I would have it last week.
,,Can be a little glitchy when taking measurements. If screensaver comes on I have to start all over again.
,,"Very easy to use, accurate when compared with readings from doctor's blood pressure cuff."
,,Easy to use. A little hard to pair up to my Note 10 plus as described but taking the battery cover off and replacing it did the trick.
,,Works its rated 5 stars. Question is will it work or not connect. If it doesn't connect there's nothing I can do to fix it. Right now it's connecting every morning so it's good.
,,It was great until I had to start uninstalling and installing the app to make it work which was probably about a month in.
,,Incredibly convenient to track BP throughout the day. I live the portability of the unit.
,,Why do I need yet another account just to log 3 numbers every day? Excel can do it.
,,Very easy to use. Easy to keep track of pressure
,,Have a little trouble getting it to start my 2nd time....but I like the phone app and how it keeps track.
,,Very good device. Very accurate. Very reliable and a great design.
,,App instructions are easy to follow and I like the ability to track my blood pressure.
,,I've had this unit for a few weeks and this will be my third time to change the batteries. At this rate I won't be able to afford this unit.
,,I like it keeps track of readings can email to my doctor if needed
,,MAJOR SECURITY RISK. WILLNOT WORK UNLESS YOU CRWZTE AN ACCOUNT ON THEIR SERVERS. APP IS ALSO CRIPPLED UNLESS YOU BUY THEIR DEVICE
,,Very easy to use and results match my readings at my medical appointments.
,,"Can't add information manually, only works with their devices"
,,"Like the fact you can take your blood pressure pretty much anywhere home, car, trains or planes. and at any hour."
,,"Work wonderful, gives accurate readings. Easy to carry around"
,,"wonderful, gives accurate readings."
,,Easy to use all-in-one device that maintains a log of teadings.
,,Very easy to use. Keeps track easily and helps to show patterns
,,"Because my blood pressure fluxuates from too low to too high, Qardio Heart has been AWESOME with assisting me in determing how often and how much medication to take, or not take, daily."
,,"This serves as a good tracker, especially when you have a history of heart disease."
,,Crashes and won't work now after their last update. No way to undo their update.
,,Great product and easy to use. Very accurate so it gives you piece of mind.
,,Very easy to use and store information to display to doctor.
,,Very easy to use and compact.
,,After the last update is crashing and I can't use it anymore....
,,Compact monitor. Easy to use app.
,,Qardio app no longer syncing with Google fit after latest update.
,,It is friendly use App and would be great if it includes WIFI connectivity
,,"I like being able to look back at dates and times, to compare changes."
,,Very easy to use and convenient!
,,Good reliable blood pressure monitoring.
,,Very irregular results. Not very accurate
,,Quick and easy to use. Would like a quicker way to turn off. I take the top off each time. Good graphics. Is there a way to select just morning or evening results in the graphics?
,,"Very portable and accurate reading, heart rate pulse reading not constant with blood pressure sleeve."
,,The cuff is hard to keep in place on my arm The cuff doesn't deflate so it can be stored in the box .
,,Very easy to use. Great to track blood pressure.
,,Qardio is a great app which helps monitor one's blood pressure quickly and often.
,,Easy to use and the info goes right to the doctor. I like it.
,,Bad measurements is impossible to delete from history. They are deletable within user session but return back after restart
,,This app makes it easy to track my blood pressure.
,,Easy to use and keep records.
,,Does what it claims to. Doctor and I satisfied with results.
,,Bad app. Unnecessary permissions and features. Poor communication.
